state_code,state_name,district_code,district_name,subdistrict_code,subdistrict_name,village_code,village_name,pincode,source_file
DL,Delhi,DL-DEL,Delhi,,,,Aali,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Ali Pur,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Asola,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Aya Nagar,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Babar Pur,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Bakhtawar Pur,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Bakkar Wala,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Bankauli,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Bankner,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Bapraula,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Baqiabad,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Barwala,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Bawana,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Begum Pur,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Bhalswa Jahangir Pur,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Bhati,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Bhor Garh,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Burari,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Chandan Hola,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Chattar Pur,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Chhawala (Chhawla),,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Chilla Saroda Bangar,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Chilla Saroda Khadar,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Dallo Pura,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Darya Pur Kalan,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Dayal Pur,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Delhi,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Delhi Cantonment,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Deoli,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Dera Mandi,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Dindar Pur,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Fateh Pur Beri,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Gharoli,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Gharonda Neemka Bangar (Patparganj),,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Gheora,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Ghitorni,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Gokal Pur,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Hastsal,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Ibrahim Pur,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Jaffar Pur Kalan,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Jaffrabad,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Jait Pur,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Jharoda Kalan,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Jharoda Majra Burari,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Jiwan Pur (Johri Pur),,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Jona Pur,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Kair,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Kamal Pur Majra Burari,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Kanjhawala,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Kapas Hera,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Karala,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Karawal Nagar,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Khajoori Khas,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Khan Pur Dhani,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Khera,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Khera Kalan,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Khera Khurd,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Kirari Suleman Nagar,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Kondli,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Kotla Mahigiran,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Kusum Pur,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Lad Pur,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Libas Pur,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Maidan Garhi,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Malik Pur Kohi (Rang Puri),,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Mandoli,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Mir Pur Turk,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Mithe Pur,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Mitraon,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Mohammad Pur Majri,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Molar Band,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Moradabad Pahari,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Mubarak Pur Dabas,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Mukand Pur,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Mukhmel Pur,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Mundka,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Mustafabad,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Nangli Sakrawati,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Nangloi Jat,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Neb Sarai,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,New Delhi,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Nilothi,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Nithari,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Pehlad Pur Bangar,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Pooth Kalan,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Pooth Khurd,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Pul Pehlad,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Qadi Pur,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Quammruddin Nagar,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Qutab Garh,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Raja Pur Khurd,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Rajokri,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Raj Pur Khurd,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Rani Khera,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Roshan Pura (Dichaon Khurd),,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Sadat Pur Gujran,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Sahibabad Daulat Pur,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Saidabad,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Saidul Azaib,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Sambhalka,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Shafi Pur Ranhola,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Shakar Pur Baramad,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Siras Pur,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Sultan Pur,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Sultan Pur Majra,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Taj Pul,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Tigri,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Tikri Kalan,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Tikri Khurd,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Tilang Pur Kotla,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Tukhmir Pur,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Ujwa,,geo-postal-raw-delhi-seed.csv
DL,Delhi,DL-DEL,Delhi,,,,Ziauddin Pur,,geo-postal-raw-delhi-seed.csv
